Iteration,TransferIn_ms,Inference_ms,TransferOut_ms,Total_ms
170,0.092377,3.930697,0.089502,4.112576
171,0.088550,18.313708,0.116273,18.518531
172,0.118588,3.663753,0.178523,3.960864
173,0.140160,4.056388,0.103398,4.299946
174,0.093399,4.300819,0.093540,4.487758
175,0.095905,3.566045,0.088861,3.750811
176,0.088420,3.661699,0.144789,3.894908
177,0.097748,3.928602,0.117316,4.143666
178,0.116735,3.662500,0.096836,3.876071
179,0.091706,3.494408,0.088831,3.674945
180,0.088641,3.664004,0.098429,3.851074
181,0.107387,3.838359,0.118107,4.063853
182,0.104130,3.810646,0.089662,4.004438
183,0.089202,3.548060,0.091546,3.728808
184,0.091315,3.574281,0.088601,3.754197
185,0.088781,3.612815,0.105593,3.807189
186,0.102567,3.713028,0.090494,3.906089
187,0.088591,3.571245,0.089212,3.749048
188,0.088309,3.565054,0.092528,3.745891
189,0.091466,3.657431,0.100533,3.849430
190,0.088230,3.955744,0.111605,4.155579
191,0.088790,3.567548,0.087268,3.743606
192,0.088350,3.599841,0.088780,3.776971
193,0.088871,3.562719,0.090313,3.741903
194,0.088610,3.930496,0.099652,4.118758
195,0.086136,3.638464,0.086767,3.811367
196,0.085354,3.564242,0.083029,3.732625
197,0.084864,3.575894,0.086175,3.746933
198,0.085645,6.246828,0.092739,6.425212
199,0.091826,3.568230,0.092688,3.752744
200,0.092107,4.881994,0.145030,5.119131
201,0.152112,5.156314,0.179232,5.487658
202,0.102177,4.109110,0.102086,4.313373
203,12.712949,4.161060,0.111614,16.985623
204,0.097207,4.080526,0.114519,4.292252
205,0.124279,8.720104,0.139178,8.983561
206,0.098148,3.788733,0.090283,3.977164
207,0.089562,3.558160,0.088260,3.735982
208,0.087779,3.932901,0.130150,4.150830
209,0.100073,3.600561,0.103880,3.804514
210,0.091506,3.581455,0.096756,3.769717
211,0.101365,3.732105,0.109020,3.942490
212,0.093299,3.784366,0.096405,3.974070
213,0.091135,3.576145,0.112676,3.779956
214,0.091526,3.725843,0.102607,3.919976
215,0.090554,3.583829,0.115583,3.789966
216,0.093139,6.284310,0.178305,6.555754
217,0.114910,3.621502,0.108137,3.844549
218,0.090875,3.695293,0.134239,3.920407
219,0.093219,4.102005,0.138146,4.333370
220,0.097037,3.590763,0.088941,3.776741
221,0.088531,6.030352,0.100514,6.219397
222,0.090143,4.218240,0.183291,4.491674
223,0.123137,3.550406,0.089171,3.762714
224,0.088440,3.676938,0.106475,3.871853
225,0.087799,3.602926,0.092849,3.783574
226,0.091586,4.707368,0.151472,4.950426
227,0.134480,3.548591,0.088901,3.771972
228,0.088240,3.745961,0.133015,3.967216
229,0.089041,3.589019,0.104742,3.782802
230,0.091836,3.943121,0.116654,4.151611
231,0.089352,3.575243,0.103188,3.767783
232,0.088611,3.540426,0.100683,3.729720
233,0.098640,3.559412,0.108539,3.766591
234,0.090965,3.686497,0.124229,3.901691
235,0.091897,3.652461,0.106846,3.851204
236,7.982035,4.502916,0.126263,12.611214
237,0.090213,3.997815,0.092458,4.180486
238,0.091686,3.569102,0.088920,3.749708
239,0.088530,3.635569,0.095103,3.819202
240,0.088581,3.967356,0.091316,4.147253
241,0.088760,3.664214,0.087629,3.840603
242,0.088751,3.525978,0.092127,3.706856
243,0.091215,3.656148,0.982469,4.729832
244,0.154618,5.184667,0.092427,5.431712
245,0.088540,3.542300,0.088721,3.719561
246,0.088259,3.544324,0.088781,3.721364
247,0.088410,5.446600,0.153506,5.688516
248,0.090353,4.748729,0.090454,4.929536
249,0.088660,3.511812,0.090303,3.690775
250,0.088880,3.627233,0.108218,3.824331
251,0.150699,3.863007,0.097327,4.111033
252,0.091125,3.548542,0.088460,3.728127
253,0.088169,3.602796,0.089372,3.780337
254,0.088320,3.629548,0.105322,3.823190
255,0.088801,4.454143,0.107346,4.650290
256,0.092859,3.564933,0.088861,3.746653
257,0.088740,3.736534,0.088490,3.913764
258,0.094471,4.467068,0.162953,4.724492
259,0.091055,3.580643,0.101535,3.773233
260,0.089902,3.580984,0.092368,3.763254
261,0.091426,3.531389,0.088720,3.711535
262,0.088229,5.023627,0.161250,5.273106
263,0.090815,4.168273,0.096175,4.355263
264,0.088971,3.579251,0.092467,3.760689
265,0.091385,3.553932,0.089332,3.734649
266,0.085214,4.418885,0.091075,4.595174
267,0.088831,3.628356,0.091435,3.808622
268,0.088901,3.588999,0.088731,3.766631
269,0.088410,3.544885,0.089081,3.722376
270,0.088350,3.795216,0.095203,3.978769
271,0.095022,3.576285,0.093680,3.764987
272,0.090363,3.562008,0.088791,3.741162
273,0.088220,3.569422,0.090664,3.748306
274,0.093600,3.778704,0.111935,3.984239
275,0.100273,4.132314,0.089582,4.322169
276,0.088651,3.596363,0.095303,3.780317
277,0.093931,3.651099,0.116103,3.861133
278,0.092848,3.780939,0.091375,3.965162
279,0.088481,18.098012,0.093861,18.280354
280,0.091727,3.613366,0.090594,3.795687
281,0.088540,3.793352,0.093590,3.975482
282,0.088400,5.443244,0.162993,5.694637
283,0.098149,4.030158,0.092057,4.220364
284,0.091436,3.634326,0.113629,3.839391
285,0.091616,3.639657,0.129889,3.861162
286,0.122516,3.767122,0.094873,3.984511
287,0.093970,3.582067,0.092187,3.768224
288,0.091186,3.693921,0.107707,3.892814
289,0.091356,3.602225,0.097106,3.790687
290,0.091606,3.654465,0.092307,3.838378
291,0.091166,3.574972,0.089031,3.755169
292,0.088821,3.583128,0.088991,3.760940
293,0.087898,3.719912,0.120141,3.927951
294,0.098870,3.713609,0.090243,3.902722
295,0.089111,3.557158,0.091697,3.737966
296,0.091075,3.644727,0.089071,3.824873
297,0.088370,18.579277,0.153064,18.820711
298,0.141823,4.240984,0.124759,4.507566
299,0.098319,3.517111,0.088801,3.704231
300,0.088150,3.669835,0.089271,3.847256
301,0.088090,3.612755,0.088801,3.789646
302,0.088570,3.951887,0.143045,4.183502
303,0.094612,3.554082,0.092969,3.741663
304,0.091947,3.521630,0.088710,3.702287
305,0.088791,3.577137,0.088650,3.754578
306,0.088250,3.717997,0.119791,3.926038
307,0.089131,3.738748,0.092197,3.920076
308,0.088891,3.676678,0.093039,3.858608
309,0.092097,3.565414,0.091776,3.749287
310,0.091045,3.682880,0.104171,3.878096
311,0.091746,3.525858,0.094802,3.712406
312,0.094291,3.561276,0.100293,3.755860
313,0.090845,3.529565,0.091416,3.711826
314,0.090915,5.027585,0.100593,5.219093
315,0.091656,3.671278,0.099040,3.861974
316,0.092297,3.554574,7.588397,11.235268
317,0.090825,4.043593,0.128768,4.263186
318,0.089552,3.697449,0.089251,3.876252
319,0.088190,3.558922,0.088410,3.735522
320,0.088380,6.069408,0.097136,6.254924
321,0.091045,3.571646,0.093449,3.756140
322,0.092337,3.535858,0.092147,3.720342
323,0.088740,5.628149,0.138387,5.855276
324,0.092488,3.564202,0.092487,3.749177
325,0.089111,3.700233,0.107387,3.896731
326,0.088941,3.850472,0.149989,4.089402
327,0.161392,3.659483,0.092609,3.913484
328,0.091616,3.691206,0.089722,3.872544
