Iteration,TransferIn_ms,Inference_ms,TransferOut_ms,Total_ms
252,0.090865,3.621031,0.088760,3.800656
253,0.088460,3.651449,0.093019,3.832928
254,0.090414,3.723378,0.102327,3.916119
255,0.086336,4.247113,0.113450,4.446899
256,0.093910,4.077228,0.088771,4.259909
257,0.088190,3.591824,0.088691,3.768705
258,0.088510,3.758705,0.105703,3.952918
259,0.089382,3.809012,0.090003,3.988397
260,0.088791,3.593358,0.091696,3.773845
261,0.091256,3.631330,0.105724,3.828310
262,0.088500,3.776310,0.263174,4.127984
263,0.138809,3.708790,0.086586,3.934185
264,0.086556,3.579131,0.086165,3.751852
265,0.085795,3.618466,0.089021,3.793282
266,0.087839,3.694482,0.086847,3.869168
267,0.085233,4.854743,0.093550,5.033526
268,0.089172,3.624487,0.089342,3.803001
269,0.088660,3.555015,0.088810,3.732485
270,0.091827,3.718117,0.257915,4.067859
271,0.152042,6.002020,0.098469,6.252531
272,0.091466,3.592275,0.088831,3.772572
273,0.088279,3.511410,0.088781,3.688470
274,0.088640,4.423202,0.124901,4.636743
275,0.092818,3.597696,0.089392,3.779906
276,0.088780,3.610802,0.092237,3.791819
277,0.096165,3.545586,0.088510,3.730261
278,0.088620,4.300255,0.157274,4.546149
279,0.147864,3.635750,0.106043,3.889657
280,0.088420,3.560395,0.088891,3.737706
281,0.088881,3.531418,0.088821,3.709120
282,0.088410,4.004037,0.109621,4.202068
283,0.099822,3.610560,0.095133,3.805515
284,0.091677,3.557799,0.089191,3.738667
285,0.088561,3.610160,0.088390,3.787111
286,0.088139,3.811447,0.098229,3.997815
287,0.085344,3.763535,0.096646,3.945525
288,0.106204,3.544604,0.091927,3.742735
289,0.091395,3.605862,0.088690,3.785947
290,0.088500,4.134518,0.092247,4.315265
291,0.088450,3.777712,0.093189,3.959351
292,0.088770,3.622093,0.095895,3.806758
293,0.088470,3.551007,0.088570,3.728047
294,0.088219,4.078100,0.093209,4.259528
295,0.091265,3.719360,0.095283,3.905908
296,0.087989,3.569722,0.089041,3.746752
297,0.086626,3.549894,0.088761,3.725281
298,0.088801,4.807181,0.093740,4.989722
299,0.088189,3.706004,0.086947,3.881140
300,0.085805,3.624536,0.117567,3.827908
301,0.092668,3.515879,0.092808,3.701355
302,0.092067,6.377198,0.159507,6.628772
303,0.101806,8.049746,0.120952,8.272504
304,0.099021,4.180336,0.147513,4.426870
305,0.109560,4.039474,0.097768,4.246802
306,0.091726,3.706537,0.180796,3.979059
307,0.100143,3.828479,0.109493,4.038115
308,0.126521,4.242917,0.095553,4.464991
309,0.094752,3.579734,0.093179,3.767665
310,0.091175,3.819272,0.178782,4.089229
311,0.123309,4.231413,0.148647,4.503369
312,0.095584,3.615891,0.092137,3.803612
313,0.091306,3.504326,0.095213,3.690845
314,0.130009,3.754087,0.105353,3.989449
315,0.091756,3.586395,0.119940,3.798091
316,0.092497,3.636250,0.151031,3.879778
317,0.094311,3.527381,0.091285,3.712977
318,0.091215,3.758015,0.098880,3.948110
319,0.088240,3.783012,0.127666,3.998918
320,0.089492,3.600080,0.088490,3.778062
