Iteration,Transfer_ms,Inference_ms,Total_ms
406,0.000061,3.404965,3.405026
407,0.000060,3.398183,3.398243
408,0.000060,3.301797,3.301857
409,0.000050,3.376912,3.376962
410,0.000060,4.826167,4.826227
411,0.000271,3.340982,3.341253
412,0.000070,3.664595,3.664665
413,0.000060,3.408072,3.408132
414,0.000050,3.811637,3.811687
415,0.000261,3.288552,3.288813
416,0.000050,3.366743,3.366793
417,0.000070,3.657691,3.657761
418,0.000050,3.279343,3.279393
419,0.000060,3.441045,3.441105
420,0.000061,3.398913,3.398974
421,0.000050,3.401729,3.401779
422,0.000061,3.606493,3.606554
423,0.000050,3.717034,3.717084
424,0.000301,3.323839,3.324140
425,0.000050,3.287590,3.287640
426,0.000050,3.544203,3.544253
427,0.000060,3.563852,3.563912
428,0.000070,3.511640,3.511710
429,0.000061,3.273021,3.273082
430,0.000050,3.391479,3.391529
431,0.000060,3.670837,3.670897
432,0.000060,3.646961,3.647021
433,0.000050,3.294824,3.294874
434,0.000051,3.406077,3.406128
435,0.000060,3.303671,3.303731
436,0.000050,3.601754,3.601804
437,0.000060,3.445844,3.445904
438,0.000211,3.314511,3.314722
439,0.000060,3.349780,3.349840
440,0.000050,3.364428,3.364478
441,0.000070,3.646630,3.646700
442,0.000200,3.314031,3.314231
443,0.000050,3.369166,3.369216
444,0.000050,3.307117,3.307167
445,0.000050,3.369757,3.369807
446,0.000060,3.672369,3.672429
447,0.000050,3.340872,3.340922
448,0.000050,3.397832,3.397882
449,0.000060,3.318689,3.318749
450,0.000050,4.114870,4.114920
451,0.000060,3.597475,3.597535
452,0.000060,3.342686,3.342746
453,0.000050,3.293141,3.293191
454,0.000060,3.305043,3.305103
455,0.000050,3.750229,3.750279
456,0.000070,3.435164,3.435234
457,0.000050,3.333619,3.333669
458,0.000060,3.333378,3.333438
459,0.000060,3.301717,3.301777
460,0.000060,3.805485,3.805545
461,0.000050,3.294173,3.294223
462,0.000050,3.315944,3.315994
463,0.000060,3.351783,3.351843
464,0.000051,4.872587,4.872638
465,0.000331,3.522381,3.522712
466,0.000050,3.415676,3.415726
467,0.000050,3.345080,3.345130
468,0.000050,3.331214,3.331264
469,0.000060,3.384967,3.385027
470,0.000050,3.332355,3.332405
471,0.000060,3.284313,3.284373
472,0.000060,3.366312,3.366372
473,0.000060,3.446696,3.446756
474,0.000050,3.349339,3.349389
475,0.000050,3.397131,3.397181
476,0.000060,3.344269,3.344329
477,0.000050,3.299663,3.299713
478,0.000061,3.448549,3.448610
479,0.000060,3.381320,3.381380
480,0.000200,3.313290,3.313490
481,0.000050,3.367764,3.367814
482,0.000050,3.364928,3.364978
483,0.000070,3.392742,3.392812
484,0.000060,3.417009,3.417069
485,0.000201,3.349088,3.349289
486,0.000050,3.284474,3.284524
487,0.000060,3.515618,3.515678
488,0.000210,3.429834,3.430044
489,0.000060,3.474259,3.474319
490,0.000210,3.328439,3.328649
491,0.000060,3.400758,3.400818
492,0.000050,3.998286,3.998336
493,0.000191,3.416588,3.416779
494,0.000221,3.342315,3.342536
495,0.000060,3.364348,3.364408
496,0.000050,4.121854,4.121904
497,0.000211,3.343788,3.343999
498,0.000060,3.569963,3.570023
