Iteration,TransferIn_ms,Inference_ms,TransferOut_ms,Total_ms
420,0.088810,3.895839,0.211786,4.196435
421,0.099311,4.192791,0.092959,4.385061
422,0.090944,3.944651,0.094412,4.130007
423,0.094151,3.732786,0.122597,3.949534
424,0.095944,3.538752,0.095023,3.729719
425,0.091465,3.947118,0.102186,4.140769
426,0.090664,3.727415,0.094862,3.912941
427,0.088741,3.802880,0.101956,3.993577
428,0.095022,3.611453,0.103278,3.809753
429,0.088911,3.690954,0.156310,3.936175
430,0.138939,3.580643,0.092508,3.812090
431,0.092588,3.608627,0.089722,3.790937
432,0.088089,3.833840,0.102607,4.024536
433,0.090173,3.565755,0.088891,3.744819
434,0.226835,5.952053,0.090874,6.269762
435,0.088350,3.706264,0.087568,3.882182
436,0.085264,3.549753,0.087137,3.722154
437,0.085545,3.607213,0.110353,3.803111
438,0.085986,3.603667,0.087257,3.776910
439,0.085344,3.552329,0.088610,3.726283
440,0.088570,3.754127,0.089732,3.932429
441,0.437209,3.614179,0.101606,4.152994
442,0.092508,3.563500,0.091947,3.747955
443,0.090344,3.546477,0.090855,3.727676
444,0.090063,3.704351,0.104390,3.898804
445,0.090404,3.627802,0.150842,3.869048
446,0.094572,3.682259,0.107997,3.884828
447,0.088681,3.527781,0.091907,3.708369
448,0.091435,3.890749,0.094412,4.076596
449,0.089041,3.715502,0.112557,3.917100
450,0.088751,3.574992,0.093359,3.757102
451,0.088430,3.623866,0.088931,3.801227
452,0.088240,3.526268,0.089011,3.703519
453,0.088670,4.171307,0.138456,4.398433
454,0.091646,3.612356,0.102357,3.806359
455,0.088460,3.680465,0.089282,3.858207
456,0.088109,3.597816,0.089262,3.775187
457,0.088340,4.574040,0.139298,4.801678
458,0.114242,3.557859,0.092117,3.764218
459,0.091636,3.645047,0.088330,3.825013
460,0.088520,3.613135,0.089062,3.790717
461,0.088510,3.936657,0.153425,4.178592
462,0.098549,3.817498,0.089282,4.005329
463,0.088831,3.665255,0.092378,3.846464
464,0.091506,3.652992,0.093760,3.838258
465,0.088289,3.810084,0.126153,4.024526
466,0.088981,3.631731,0.107396,3.828108
467,0.088831,3.599218,0.089021,3.777070
468,0.088189,3.549603,0.091406,3.729198
469,0.091125,5.387285,0.138827,5.617237
470,0.116826,3.653643,0.089633,3.860102
471,0.090314,3.641159,0.089432,3.820905
472,0.088180,3.576184,0.088521,3.752885
473,0.088981,3.897032,0.135420,4.121433
474,0.088891,3.602374,0.093620,3.784885
475,0.091576,3.556877,0.088510,3.736963
476,0.117095,3.589640,0.089582,3.796317
477,0.088450,3.675565,0.127125,3.891140
478,0.089803,3.859108,0.101495,4.050406
479,0.088781,3.646750,0.091596,3.827127
480,0.091475,3.541087,0.088661,3.721223
481,0.088130,3.724550,0.096685,3.909365
482,0.088740,3.777331,0.103720,3.969791
483,0.088621,3.582156,0.088790,3.759567
484,0.088270,3.606623,0.088720,3.783613
485,0.088580,5.505712,0.113079,5.707371
486,0.095463,4.705195,0.096525,4.897183
487,0.088560,3.543120,0.089152,3.720832
488,0.088700,4.182239,0.109440,4.380379
489,0.088730,3.628575,0.094713,3.812018
490,0.088561,3.759837,0.093219,3.941617
491,0.088610,3.658523,0.091686,3.838819
492,0.091967,3.861762,0.120673,4.074402
493,0.107045,3.587106,0.088580,3.782731
494,0.088370,3.755018,0.093951,3.937339
495,0.088511,3.604048,0.089532,3.782091
496,0.088690,3.854370,0.093109,4.036169
497,0.092177,3.531178,0.088360,3.711715
498,0.088269,3.737595,0.090825,3.916689
499,0.088440,3.607184,0.088800,3.784424
500,0.088220,4.162050,0.089813,4.340083
501,0.088179,3.574301,0.092217,3.754697
502,0.091606,3.574171,0.090424,3.756201
503,0.095554,3.736953,0.096616,3.929123
