Epoch,Weight1,Weight2,Bias
305,1.399776,1.306940,-2.215101
306,1.402434,1.310194,-2.219195
307,1.405088,1.313440,-2.223282
308,1.407737,1.316677,-2.227362
309,1.410382,1.319906,-2.231435
310,1.413023,1.323126,-2.235500
311,1.415660,1.326337,-2.239558
312,1.418292,1.329540,-2.243608
313,1.420921,1.332735,-2.247652
314,1.423545,1.335921,-2.251688
315,1.426165,1.339099,-2.255717
316,1.428781,1.342269,-2.259739
317,1.431392,1.345430,-2.263754
318,1.434000,1.348584,-2.267762
319,1.436603,1.351729,-2.271762
320,1.439202,1.354866,-2.275756
321,1.441798,1.357995,-2.279743
322,1.444389,1.361116,-2.283723
323,1.446976,1.364229,-2.287695
324,1.449559,1.367334,-2.291661
325,1.452138,1.370431,-2.295620
326,1.454713,1.373521,-2.299572
327,1.457284,1.376603,-2.303518
328,1.459851,1.379677,-2.307456
329,1.462414,1.382743,-2.311388
330,1.464973,1.385802,-2.315313
331,1.467528,1.388853,-2.319231
332,1.470080,1.391896,-2.323142
333,1.472627,1.394932,-2.327047
334,1.475170,1.397961,-2.330945
335,1.477710,1.400982,-2.334836
336,1.480245,1.403996,-2.338721
337,1.482777,1.407002,-2.342599
338,1.485305,1.410001,-2.346470
339,1.487829,1.412993,-2.350335
340,1.490350,1.415977,-2.354193
341,1.492866,1.418955,-2.358045
342,1.495379,1.421925,-2.361891
343,1.497887,1.424888,-2.365729
344,1.500392,1.427844,-2.369562
345,1.502894,1.430793,-2.373388
346,1.505391,1.433735,-2.377207
347,1.507885,1.436670,-2.381021
348,1.510375,1.439598,-2.384827
349,1.512862,1.442519,-2.388628
350,1.515344,1.445433,-2.392422
351,1.517823,1.448341,-2.396210
352,1.520298,1.451242,-2.399991
353,1.522770,1.454136,-2.403767
354,1.525238,1.457023,-2.407536
355,1.527702,1.459903,-2.411299
356,1.530163,1.462777,-2.415055
357,1.532620,1.465645,-2.418806
358,1.535073,1.468505,-2.422550
359,1.537523,1.471360,-2.426288
360,1.539969,1.474207,-2.430020
361,1.542412,1.477048,-2.433746
362,1.544851,1.479883,-2.437466
363,1.547286,1.482712,-2.441180
364,1.549718,1.485534,-2.444888
365,1.552146,1.488349,-2.448589
