Epoch,Slope,Intercept
317,0.796765,-0.076185
318,0.794047,-0.075354
319,0.791311,-0.074516
320,0.788558,-0.073674
321,0.785786,-0.072825
322,0.782996,-0.071970
323,0.780188,-0.071109
324,0.777362,-0.070243
325,0.774518,-0.069370
326,0.771656,-0.068491
327,0.768775,-0.067607
328,0.765877,-0.066716
329,0.762960,-0.065819
330,0.760025,-0.064916
331,0.757071,-0.064007
332,0.754099,-0.063092
333,0.751109,-0.062171
334,0.748100,-0.061243
335,0.745073,-0.060310
336,0.742028,-0.059370
337,0.738964,-0.058424
338,0.735881,-0.057472
339,0.732780,-0.056513
340,0.729661,-0.055548
341,0.726523,-0.054577
342,0.723366,-0.053599
343,0.720191,-0.052616
344,0.716997,-0.051625
345,0.713784,-0.050629
346,0.710553,-0.049626
347,0.707303,-0.048616
348,0.704034,-0.047601
349,0.700747,-0.046578
350,0.697441,-0.045550
351,0.694116,-0.044514
352,0.690772,-0.043473
353,0.687410,-0.042425
354,0.684029,-0.041370
355,0.680629,-0.040309
356,0.677210,-0.039241
357,0.673772,-0.038166
358,0.670316,-0.037085
359,0.666841,-0.035998
360,0.663346,-0.034904
361,0.659833,-0.033803
362,0.656302,-0.032695
363,0.652751,-0.031581
364,0.649181,-0.030460
365,0.645593,-0.029333
366,0.641985,-0.028199
367,0.638359,-0.027058
368,0.634714,-0.025910
369,0.631050,-0.024756
370,0.627367,-0.023595
371,0.623666,-0.022427
372,0.619945,-0.021253
373,0.616206,-0.020071
374,0.612447,-0.018883
375,0.608670,-0.017688
376,0.604874,-0.016487
377,0.601059,-0.015278
378,0.597226,-0.014063
379,0.593373,-0.012841
380,0.589502,-0.011612
381,0.585612,-0.010377
382,0.581703,-0.009134
383,0.577775,-0.007885
384,0.573829,-0.006628
385,0.569864,-0.005365
386,0.565880,-0.004095
387,0.561878,-0.002819
388,0.557856,-0.001535
389,0.553816,-0.000244
390,0.549758,0.001053
391,0.545681,0.002357
392,0.541585,0.003668
393,0.537471,0.004986
394,0.533338,0.006311
395,0.529187,0.007643
396,0.525017,0.008982
397,0.520829,0.010327
398,0.516622,0.011680
399,0.512397,0.013039
400,0.508153,0.014405
401,0.503891,0.015778
402,0.499611,0.017158
403,0.495313,0.018545
404,0.490997,0.019939
405,0.486662,0.021340
406,0.482309,0.022747
407,0.477938,0.024161
408,0.473549,0.025583
409,0.469142,0.027011
410,0.464717,0.028446
411,0.460274,0.029888
412,0.455813,0.031336
413,0.451334,0.032792
414,0.446838,0.034254
415,0.442324,0.035723
416,0.437792,0.037199
417,0.433242,0.038682
418,0.428675,0.040171
419,0.424090,0.041668
420,0.419488,0.043171
421,0.414869,0.044681
422,0.410232,0.046197
423,0.405578,0.047721
424,0.400906,0.049251
425,0.396218,0.050788
426,0.391512,0.052332
427,0.386789,0.053882
428,0.382050,0.055439
429,0.377293,0.057003
430,0.372520,0.058573
431,0.367729,0.060150
432,0.362922,0.061734
433,0.358099,0.063324
434,0.353259,0.064921
435,0.348402,0.066524
436,0.343529,0.068134
437,0.338639,0.069751
438,0.333734,0.071374
439,0.328812,0.073004
440,0.323874,0.074640
441,0.318920,0.076282
442,0.313950,0.077931
443,0.308964,0.079587
444,0.303963,0.081249
445,0.298946,0.082917
446,0.293913,0.084592
447,0.288865,0.086273
448,0.283801,0.087960
449,0.278722,0.089654
450,0.273628,0.091354
451,0.268518,0.093060
452,0.263394,0.094773
453,0.258254,0.096492
454,0.253100,0.098217
455,0.247931,0.099948
456,0.242747,0.101685
457,0.237549,0.103428
458,0.232336,0.105178
459,0.227109,0.106933
460,0.221867,0.108694
461,0.216612,0.110462
