Epoch,Weight1,Weight2,Bias
222,-1.405964,-1.629494,0.230273
223,-1.410561,-1.632989,0.233406
224,-1.415147,-1.636480,0.236529
225,-1.419723,-1.639967,0.239642
226,-1.424287,-1.643449,0.242745
227,-1.428841,-1.646927,0.245837
228,-1.433383,-1.650400,0.248920
229,-1.437915,-1.653869,0.251992
230,-1.442436,-1.657333,0.255054
231,-1.446947,-1.660793,0.258105
232,-1.451447,-1.664249,0.261147
233,-1.455936,-1.667700,0.264179
234,-1.460415,-1.671146,0.267200
235,-1.464883,-1.674588,0.270212
236,-1.469341,-1.678025,0.273214
237,-1.473788,-1.681459,0.276206
238,-1.478225,-1.684887,0.279188
239,-1.482652,-1.688311,0.282160
240,-1.487068,-1.691731,0.285122
241,-1.491474,-1.695146,0.288075
242,-1.495869,-1.698557,0.291018
243,-1.500255,-1.701963,0.293951
244,-1.504630,-1.705365,0.296875
245,-1.508995,-1.708762,0.299789
246,-1.513350,-1.712155,0.302693
247,-1.517695,-1.715544,0.305588
248,-1.522029,-1.718928,0.308473
249,-1.526354,-1.722307,0.311349
250,-1.530669,-1.725682,0.314216
251,-1.534974,-1.729053,0.317073
252,-1.539268,-1.732419,0.319921
253,-1.543553,-1.735781,0.322760
254,-1.547829,-1.739138,0.325589
255,-1.552094,-1.742491,0.328409
256,-1.556349,-1.745839,0.331221
257,-1.560595,-1.749183,0.334023
258,-1.564831,-1.752522,0.336815
259,-1.569058,-1.755857,0.339599
260,-1.573274,-1.759187,0.342374
261,-1.577482,-1.762513,0.345140
262,-1.581679,-1.765835,0.347897
263,-1.585867,-1.769152,0.350645
264,-1.590046,-1.772465,0.353384
265,-1.594215,-1.775773,0.356115
266,-1.598374,-1.779077,0.358837
267,-1.602524,-1.782376,0.361550
268,-1.606665,-1.785671,0.364254
269,-1.610796,-1.788961,0.366950
270,-1.614918,-1.792247,0.369637
271,-1.619031,-1.795528,0.372316
272,-1.623135,-1.798805,0.374986
273,-1.627229,-1.802078,0.377647
274,-1.631314,-1.805346,0.380301
275,-1.635390,-1.808610,0.382945
276,-1.639456,-1.811869,0.385582
277,-1.643514,-1.815124,0.388210
278,-1.647563,-1.818374,0.390830
279,-1.651602,-1.821620,0.393442
280,-1.655633,-1.824862,0.396046
281,-1.659654,-1.828099,0.398641
282,-1.663667,-1.831331,0.401228
283,-1.667670,-1.834559,0.403808
284,-1.671665,-1.837783,0.406379
285,-1.675651,-1.841002,0.408942
286,-1.679628,-1.844217,0.411498
287,-1.683596,-1.847428,0.414045
288,-1.687555,-1.850634,0.416585
289,-1.691506,-1.853835,0.419117
290,-1.695448,-1.857033,0.421641
291,-1.699381,-1.860225,0.424157
292,-1.703305,-1.863414,0.426665
293,-1.707221,-1.866598,0.429166
294,-1.711129,-1.869777,0.431660
295,-1.715027,-1.872952,0.434145
296,-1.718917,-1.876123,0.436624
297,-1.722799,-1.879289,0.439094
298,-1.726672,-1.882451,0.441557
299,-1.730537,-1.885608,0.444013
300,-1.734393,-1.888761,0.446462
301,-1.738241,-1.891910,0.448903
302,-1.742080,-1.895054,0.451336
303,-1.745911,-1.898194,0.453763
304,-1.749734,-1.901330,0.456182
305,-1.753548,-1.904461,0.458594
306,-1.757355,-1.907587,0.460999
307,-1.761153,-1.910710,0.463396
308,-1.764942,-1.913828,0.465787
309,-1.768724,-1.916941,0.468170
310,-1.772497,-1.920050,0.470547
311,-1.776262,-1.923155,0.472916
312,-1.780019,-1.926256,0.475279
313,-1.783768,-1.929352,0.477634
314,-1.787509,-1.932443,0.479983
315,-1.791242,-1.935531,0.482325
316,-1.794967,-1.938614,0.484660
317,-1.798684,-1.941692,0.486988
318,-1.802393,-1.944767,0.489310
319,-1.806094,-1.947836,0.491624
320,-1.809787,-1.950902,0.493932
321,-1.813473,-1.953963,0.496234
322,-1.817150,-1.957020,0.498529
323,-1.820820,-1.960073,0.500817
324,-1.824481,-1.963121,0.503099
