Epoch,Weight1,Weight2,Bias
253,1.763820,1.576565,-0.345184
254,1.767118,1.580784,-0.347942
255,1.770412,1.584993,-0.350692
256,1.773702,1.589193,-0.353432
257,1.776988,1.593383,-0.356164
258,1.780269,1.597563,-0.358887
259,1.783546,1.601733,-0.361601
260,1.786818,1.605895,-0.364307
261,1.790087,1.610046,-0.367004
262,1.793351,1.614188,-0.369693
263,1.796610,1.618321,-0.372372
264,1.799866,1.622444,-0.375044
265,1.803117,1.626558,-0.377707
266,1.806364,1.630663,-0.380361
267,1.809606,1.634758,-0.383007
268,1.812844,1.638844,-0.385645
269,1.816078,1.642921,-0.388274
270,1.819308,1.646989,-0.390895
271,1.822533,1.651047,-0.393508
272,1.825754,1.655097,-0.396113
273,1.828971,1.659137,-0.398709
274,1.832184,1.663168,-0.401297
275,1.835392,1.667190,-0.403878
276,1.838595,1.671203,-0.406450
277,1.841795,1.675207,-0.409014
278,1.844990,1.679202,-0.411571
279,1.848181,1.683188,-0.414119
280,1.851368,1.687165,-0.416660
281,1.854550,1.691133,-0.419192
282,1.857728,1.695093,-0.421717
283,1.860902,1.699043,-0.424234
284,1.864072,1.702985,-0.426744
285,1.867237,1.706918,-0.429245
286,1.870398,1.710842,-0.431740
287,1.873555,1.714758,-0.434226
288,1.876707,1.718665,-0.436705
289,1.879855,1.722563,-0.439177
290,1.882999,1.726453,-0.441640
291,1.886138,1.730334,-0.444097
292,1.889274,1.734207,-0.446546
293,1.892405,1.738071,-0.448988
294,1.895531,1.741926,-0.451422
295,1.898654,1.745773,-0.453849
296,1.901772,1.749612,-0.456269
297,1.904886,1.753442,-0.458682
298,1.907995,1.757264,-0.461087
299,1.911101,1.761077,-0.463485
300,1.914202,1.764883,-0.465877
301,1.917299,1.768679,-0.468261
302,1.920391,1.772468,-0.470638
303,1.923480,1.776248,-0.473008
304,1.926564,1.780020,-0.475371
305,1.929644,1.783784,-0.477727
306,1.932719,1.787540,-0.480076
307,1.935790,1.791288,-0.482419
308,1.938858,1.795027,-0.484754
309,1.941920,1.798758,-0.487083
310,1.944979,1.802482,-0.489405
311,1.948033,1.806197,-0.491720
312,1.951084,1.809904,-0.494029
313,1.954130,1.813604,-0.496331
314,1.957171,1.817295,-0.498626
315,1.960209,1.820979,-0.500915
316,1.963242,1.824654,-0.503197
317,1.966271,1.828322,-0.505473
318,1.969296,1.831982,-0.507742
319,1.972316,1.835634,-0.510005
320,1.975333,1.839278,-0.512261
321,1.978345,1.842915,-0.514511
322,1.981353,1.846543,-0.516754
323,1.984357,1.850164,-0.518992
324,1.987356,1.853778,-0.521223
325,1.990352,1.857383,-0.523447
326,1.993343,1.860981,-0.525666
327,1.996330,1.864572,-0.527878
328,1.999313,1.868155,-0.530084
329,2.002291,1.871730,-0.532284
330,2.005266,1.875298,-0.534478
331,2.008236,1.878858,-0.536666
332,2.011202,1.882411,-0.538847
333,2.014164,1.885956,-0.541023
334,2.017122,1.889494,-0.543193
335,2.020076,1.893024,-0.545357
336,2.023025,1.896547,-0.547515
337,2.025971,1.900063,-0.549666
338,2.028912,1.903571,-0.551813
339,2.031849,1.907072,-0.553953
340,2.034782,1.910566,-0.556087
341,2.037711,1.914052,-0.558216
342,2.040636,1.917532,-0.560339
343,2.043556,1.921004,-0.562456
344,2.046473,1.924468,-0.564568
345,2.049385,1.927926,-0.566674
346,2.052293,1.931376,-0.568774
347,2.055197,1.934820,-0.570868
348,2.058097,1.938256,-0.572957
349,2.060993,1.941685,-0.575041
350,2.063885,1.945107,-0.577119
351,2.066773,1.948522,-0.579191
352,2.069657,1.951930,-0.581258
353,2.072536,1.955331,-0.583320
354,2.075412,1.958725,-0.585376
355,2.078283,1.962113,-0.587427
356,2.081151,1.965493,-0.589472
357,2.084014,1.968866,-0.591512
358,2.086873,1.972233,-0.593547
359,2.089728,1.975592,-0.595576
360,2.092580,1.978945,-0.597601
361,2.095427,1.982291,-0.599620
362,2.098270,1.985630,-0.601633
363,2.101109,1.988963,-0.603642
364,2.103944,1.992288,-0.605645
365,2.106775,1.995607,-0.607644
366,2.109602,1.998920,-0.609637
367,2.112425,2.002225,-0.611625
368,2.115244,2.005524,-0.613608
369,2.118059,2.008817,-0.615586
370,2.120870,2.012102,-0.617559
371,2.123677,2.015382,-0.619527
372,2.126480,2.018654,-0.621490
373,2.129279,2.021920,-0.623448
374,2.132074,2.025180,-0.625401
375,2.134865,2.028433,-0.627349
376,2.137652,2.031679,-0.629292
377,2.140435,2.034919,-0.631231
378,2.143214,2.038153,-0.633165
379,2.145990,2.041380,-0.635093
380,2.148761,2.044601,-0.637017
381,2.151528,2.047815,-0.638937
382,2.154292,2.051024,-0.640851
383,2.157051,2.054225,-0.642761
384,2.159807,2.057421,-0.644666
385,2.162558,2.060610,-0.646567
386,2.165306,2.063793,-0.648463
387,2.168050,2.066969,-0.650354
388,2.170790,2.070140,-0.652241
389,2.173526,2.073304,-0.654123
390,2.176258,2.076462,-0.656000
391,2.178986,2.079614,-0.657873
392,2.181711,2.082759,-0.659741
393,2.184431,2.085899,-0.661605
394,2.187148,2.089032,-0.663465
395,2.189861,2.092160,-0.665320
396,2.192570,2.095281,-0.667170
397,2.195275,2.098396,-0.669016
398,2.197976,2.101505,-0.670858
399,2.200673,2.104608,-0.672695
400,2.203367,2.107705,-0.674528
401,2.206057,2.110796,-0.676357
402,2.208743,2.113882,-0.678181
403,2.211425,2.116961,-0.680001
404,2.214103,2.120034,-0.681817
405,2.216777,2.123102,-0.683628
406,2.219448,2.126163,-0.685435
407,2.222115,2.129219,-0.687238
408,2.224778,2.132269,-0.689037
409,2.227438,2.135313,-0.690831
410,2.230093,2.138351,-0.692622
411,2.232745,2.141383,-0.694408
412,2.235393,2.144410,-0.696190
413,2.238037,2.147431,-0.697968
414,2.240678,2.150446,-0.699742
415,2.243314,2.153455,-0.701511
416,2.245947,2.156459,-0.703277
417,2.248577,2.159457,-0.705039
418,2.251202,2.162449,-0.706796
419,2.253824,2.165436,-0.708550
420,2.256442,2.168417,-0.710300
421,2.259057,2.171393,-0.712045
422,2.261667,2.174363,-0.713787
423,2.264275,2.177327,-0.715525
424,2.266878,2.180286,-0.717259
425,2.269478,2.183239,-0.718989
426,2.272073,2.186187,-0.720715
427,2.274666,2.189129,-0.722437
428,2.277254,2.192066,-0.724155
429,2.279839,2.194997,-0.725869
430,2.282421,2.197923,-0.727580
431,2.284998,2.200843,-0.729287
432,2.287572,2.203758,-0.730990
433,2.290143,2.206667,-0.732689
434,2.292710,2.209572,-0.734385
435,2.295273,2.212470,-0.736076
436,2.297832,2.215364,-0.737764
437,2.300388,2.218252,-0.739449
438,2.302940,2.221135,-0.741129
439,2.305489,2.224012,-0.742806
440,2.308034,2.226884,-0.744479
441,2.310576,2.229751,-0.746149
442,2.313114,2.232613,-0.747815
443,2.315648,2.235469,-0.749477
