Epoch,Slope,Intercept
850,-1.006895,0.397791
851,-1.006873,0.397867
852,-1.006852,0.397942
853,-1.006830,0.398017
854,-1.006808,0.398093
855,-1.006787,0.398167
856,-1.006766,0.398242
857,-1.006744,0.398316
858,-1.006723,0.398391
859,-1.006702,0.398465
860,-1.006681,0.398539
861,-1.006660,0.398612
862,-1.006639,0.398686
863,-1.006619,0.398759
864,-1.006598,0.398833
865,-1.006577,0.398906
866,-1.006557,0.398978
867,-1.006536,0.399051
868,-1.006516,0.399124
869,-1.006496,0.399196
870,-1.006476,0.399268
871,-1.006456,0.399340
872,-1.006436,0.399412
873,-1.006416,0.399484
874,-1.006396,0.399555
875,-1.006376,0.399626
876,-1.006356,0.399697
877,-1.006337,0.399768
878,-1.006317,0.399839
879,-1.006298,0.399910
880,-1.006278,0.399980
881,-1.006259,0.400051
882,-1.006240,0.400121
883,-1.006221,0.400191
884,-1.006202,0.400261
885,-1.006183,0.400330
886,-1.006164,0.400400
887,-1.006145,0.400469
888,-1.006126,0.400538
889,-1.006108,0.400607
890,-1.006089,0.400676
891,-1.006070,0.400745
892,-1.006052,0.400813
893,-1.006034,0.400881
894,-1.006015,0.400950
895,-1.005997,0.401018
896,-1.005979,0.401086
897,-1.005961,0.401153
898,-1.005943,0.401221
899,-1.005925,0.401288
900,-1.005907,0.401356
901,-1.005889,0.401423
902,-1.005871,0.401490
903,-1.005854,0.401556
904,-1.005836,0.401623
905,-1.005819,0.401689
906,-1.005801,0.401756
907,-1.005784,0.401822
908,-1.005767,0.401888
909,-1.005749,0.401954
910,-1.005732,0.402020
911,-1.005715,0.402085
912,-1.005698,0.402151
913,-1.005681,0.402216
914,-1.005664,0.402281
915,-1.005647,0.402346
916,-1.005630,0.402411
917,-1.005614,0.402476
918,-1.005597,0.402540
919,-1.005580,0.402605
920,-1.005564,0.402669
921,-1.005547,0.402733
922,-1.005531,0.402797
923,-1.005515,0.402861
924,-1.005498,0.402924
925,-1.005482,0.402988
926,-1.005466,0.403051
927,-1.005450,0.403115
928,-1.005434,0.403178
929,-1.005418,0.403241
930,-1.005402,0.403304
931,-1.005386,0.403366
932,-1.005370,0.403429
933,-1.005355,0.403491
934,-1.005339,0.403554
935,-1.005323,0.403616
936,-1.005308,0.403678
937,-1.005292,0.403740
938,-1.005277,0.403801
939,-1.005262,0.403863
940,-1.005246,0.403924
941,-1.005231,0.403986
942,-1.005216,0.404047
943,-1.005201,0.404108
944,-1.005186,0.404169
945,-1.005171,0.404230
946,-1.005156,0.404290
947,-1.005141,0.404351
948,-1.005126,0.404411
949,-1.005111,0.404472
950,-1.005096,0.404532
951,-1.005082,0.404592
952,-1.005067,0.404652
953,-1.005053,0.404711
954,-1.005038,0.404771
955,-1.005024,0.404831
956,-1.005009,0.404890
957,-1.004995,0.404949
958,-1.004981,0.405008
959,-1.004966,0.405067
960,-1.004952,0.405126
961,-1.004938,0.405185
962,-1.004924,0.405243
963,-1.004910,0.405302
964,-1.004896,0.405360
965,-1.004882,0.405419
966,-1.004868,0.405477
967,-1.004854,0.405535
968,-1.004841,0.405593
969,-1.004827,0.405650
970,-1.004813,0.405708
971,-1.004800,0.405765
972,-1.004786,0.405823
973,-1.004772,0.405880
974,-1.004759,0.405937
975,-1.004746,0.405994
976,-1.004732,0.406051
977,-1.004719,0.406108
978,-1.004706,0.406165
979,-1.004692,0.406221
980,-1.004679,0.406278
981,-1.004666,0.406334
982,-1.004653,0.406390
983,-1.004640,0.406446
984,-1.004627,0.406502
985,-1.004614,0.406558
986,-1.004601,0.406614
987,-1.004588,0.406669
988,-1.004575,0.406725
989,-1.004563,0.406780
990,-1.004550,0.406835
991,-1.004537,0.406890
992,-1.004525,0.406945
993,-1.004512,0.407000
994,-1.004500,0.407055
995,-1.004487,0.407110
996,-1.004475,0.407164
997,-1.004462,0.407219
998,-1.004450,0.407273
999,-1.004438,0.407328
1000,-1.004426,0.407382
1001,-1.004413,0.407436
1002,-1.004401,0.407490
1003,-1.004389,0.407543
1004,-1.004377,0.407597
1005,-1.004365,0.407651
1006,-1.004353,0.407704
1007,-1.004341,0.407758
1008,-1.004329,0.407811
1009,-1.004317,0.407864
1010,-1.004305,0.407917
1011,-1.004294,0.407970
1012,-1.004282,0.408023
1013,-1.004270,0.408076
1014,-1.004259,0.408128
1015,-1.004247,0.408181
1016,-1.004235,0.408233
1017,-1.004224,0.408285
1018,-1.004212,0.408338
1019,-1.004201,0.408390
1020,-1.004190,0.408442
1021,-1.004178,0.408494
1022,-1.004167,0.408545
1023,-1.004156,0.408597
1024,-1.004144,0.408649
1025,-1.004133,0.408700
1026,-1.004122,0.408751
1027,-1.004111,0.408803
1028,-1.004100,0.408854
1029,-1.004089,0.408905
1030,-1.004078,0.408956
1031,-1.004067,0.409007
1032,-1.004056,0.409058
1033,-1.004045,0.409108
1034,-1.004034,0.409159
1035,-1.004023,0.409209
1036,-1.004013,0.409260
1037,-1.004002,0.409310
1038,-1.003991,0.409360
1039,-1.003980,0.409410
1040,-1.003970,0.409460
1041,-1.003959,0.409510
1042,-1.003949,0.409560
1043,-1.003938,0.409609
1044,-1.003928,0.409659
1045,-1.003917,0.409708
1046,-1.003907,0.409758
1047,-1.003896,0.409807
1048,-1.003886,0.409856
1049,-1.003876,0.409905
1050,-1.003866,0.409954
1051,-1.003855,0.410003
1052,-1.003845,0.410052
1053,-1.003835,0.410101
1054,-1.003825,0.410149
1055,-1.003815,0.410198
1056,-1.003805,0.410246
1057,-1.003795,0.410295
1058,-1.003785,0.410343
