time,valid_in,ready_in,valid_out,ready_out
821155000,0,0,0,1
821165000,0,0,0,1
821175000,0,0,0,1
821185000,0,0,0,1
821195000,0,0,0,1
821205000,0,0,0,1
821215000,0,0,0,1
821225000,0,0,0,1
821235000,0,0,0,1
821245000,0,0,0,1
821255000,0,0,0,1
821265000,0,0,0,1
821275000,0,0,0,1
821285000,0,0,0,1
821295000,0,0,0,1
821305000,0,0,0,1
821315000,0,0,0,1
821325000,0,0,0,1
821335000,0,0,0,1
821345000,0,0,0,1
821355000,0,0,0,1
821365000,0,0,0,1
821375000,0,0,0,1
821385000,0,0,0,1
821395000,0,0,0,1
821405000,0,0,0,1
821415000,0,0,0,1
821425000,0,0,0,1
821435000,0,0,0,1
821445000,0,0,0,1
821455000,0,0,0,1
821465000,0,0,0,1
821475000,0,0,0,1
821485000,0,0,0,1
821495000,0,0,0,1
821505000,0,0,0,1
821515000,0,0,0,1
821525000,0,0,0,1
821535000,0,0,0,1
821545000,0,0,0,1
821555000,0,0,0,1
821565000,0,0,0,1
821575000,0,0,0,1
821585000,0,0,0,1
821595000,0,0,0,1
821605000,0,0,0,1
821615000,0,0,0,1
821625000,0,0,0,1
821635000,0,0,0,1
821645000,0,0,0,1
821655000,0,0,0,1
821665000,0,0,0,1
821675000,0,0,0,1
821685000,0,0,0,1
821695000,0,0,0,1
821705000,0,0,0,1
821715000,0,0,0,1
821725000,0,0,0,1
821735000,0,0,0,1
821745000,0,0,0,1
821755000,0,0,0,1
821765000,0,0,0,1
821775000,0,0,0,1
821785000,0,0,0,1
821795000,0,0,0,1
821805000,0,0,0,1
821815000,0,0,0,1
821825000,0,0,0,1
821835000,0,0,0,1
821845000,0,0,0,1
821855000,0,0,0,1
821865000,0,0,0,1
821875000,0,0,0,1
821885000,0,0,0,1
821895000,0,0,0,1
821905000,0,0,0,1
821915000,0,0,0,1
821925000,0,0,0,1
821935000,0,0,0,1
821945000,0,0,0,1
821955000,0,0,0,1
821965000,0,0,0,1
821975000,0,0,0,1
821985000,0,0,0,1
821995000,0,0,0,1
822005000,0,0,0,1
822015000,0,0,0,1
822025000,0,0,0,1
822035000,0,0,0,1
822045000,0,0,0,1
822055000,0,0,0,1
822065000,0,0,0,1
822075000,0,0,0,1
822085000,0,0,0,1
822095000,0,0,0,1
822105000,0,0,0,1
822115000,0,0,0,1
822125000,0,0,0,1
822135000,0,0,0,1
822145000,0,0,0,1
822155000,0,0,0,1
822165000,0,0,0,1
822175000,0,0,0,1
822185000,0,0,0,1
822195000,0,0,0,1
822205000,0,0,0,1
822215000,0,0,0,1
822225000,0,0,0,1
822235000,0,0,0,1
822245000,0,0,0,1
822255000,0,0,0,1
822265000,0,0,0,1
822275000,0,0,0,1
822285000,0,0,0,1
822295000,0,0,0,1
822305000,0,0,0,1
822315000,0,0,0,1
822325000,0,0,0,1
822335000,0,0,0,1
822345000,0,0,0,1
822355000,0,0,0,1
822365000,0,0,0,1
822375000,0,0,0,1
822385000,0,0,0,1
822395000,0,0,0,1
822405000,0,0,0,1
822415000,0,0,0,1
822425000,0,0,0,1
822435000,0,0,0,1
822445000,0,0,0,1
822455000,0,0,0,1
822465000,0,0,0,1
822475000,0,0,0,1
822485000,0,0,0,1
822495000,0,0,0,1
822505000,0,0,0,1
